kills,total_drops,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
452,102,5,6,4,3,1,7,4,3,6,1,2,3,1,6,3,4,3,4,1,3,5,2,2,3,4,6,3,7
351,76,1,1,3,1,4,3,4,2,1,2,3,3,3,5,2,2,2,2,2,1,4,1,3,2,4,4,4,7
652,132,9,7,4,6,3,5,3,1,6,6,3,5,4,4,1,3,7,3,5,4,8,5,5,5,5,3,3,9
761,152,9,9,7,8,3,4,6,3,7,5,4,3,10,9,1,7,7,4,6,6,3,5,1,7,1,3,7,7
422,81,2,7,4,4,2,4,1,4,1,4,3,1,5,1,1,4,2,2,1,2,5,6,2,3,1,5,3,1
385,71,1,2,1,2,2,4,2,3,1,1,3,4,3,4,4,2,3,1,4,3,4,1,3,4,1,4,1,3
669,124,1,4,5,6,5,7,6,6,2,8,7,1,5,6,2,4,5,5,2,4,5,1,3,3,7,4,4,6
802,174,5,7,5,8,5,3,8,5,7,6,6,8,1,8,7,10,6,3,12,4,4,3,3,8,3,14,10,5
533,116,4,6,1,4,3,5,4,6,5,7,11,2,6,5,6,1,4,4,4,1,4,5,3,4,3,4,3,1
619,133,1,6,6,1,6,5,1,5,7,4,4,3,3,6,8,5,2,6,7,8,9,8,2,4,1,2,4,9
268,62,1,1,3,4,2,4,1,1,4,1,4,1,3,4,2,1,5,2,2,1,1,1,2,3,1,3,3,1
379,73,4,1,3,2,4,1,4,1,1,1,3,3,3,7,5,3,4,2,1,2,4,3,3,1,1,2,2,2
513,108,3,1,6,6,2,4,3,3,5,2,2,6,5,4,8,2,2,4,5,2,6,3,3,5,5,4,3,4
358,82,4,1,3,3,2,4,4,4,5,2,7,2,3,1,3,1,1,3,4,6,2,4,1,2,2,2,3,3
557,130,3,5,5,7,5,7,6,1,5,8,2,5,9,3,4,3,8,2,4,1,4,7,7,3,4,2,4,6
505,114,11,2,6,6,4,4,1,4,4,2,2,1,6,1,3,5,3,4,4,6,3,4,4,7,7,5,2,3
536,122,5,6,1,4,4,1,3,6,8,5,3,3,4,2,5,4,5,1,9,6,6,5,4,7,5,6,1,3
425,86,4,5,2,3,3,3,1,3,3,3,5,5,6,4,2,2,1,5,3,1,3,1,3,5,3,1,5,1
252,55,1,1,1,1,1,3,2,1,4,5,3,1,1,3,3,2,2,2,1,4,1,1,1,2,3,1,1,3
706,139,3,2,1,7,6,2,4,4,5,7,3,7,8,4,8,4,5,6,6,3,2,7,8,7,3,4,5,8
433,89,5,3,3,4,3,6,4,4,3,1,3,4,2,3,5,1,2,3,2,4,5,2,1,1,2,1,6,6
442,84,1,2,3,4,1,3,4,1,5,2,3,2,4,1,3,6,4,1,4,3,6,2,4,5,4,1,2,3
575,113,6,2,4,9,2,4,4,5,3,2,8,5,4,4,3,2,2,4,1,2,4,5,5,5,3,7,6,2
355,82,6,2,2,3,5,2,4,3,4,1,1,1,2,1,1,2,5,7,3,2,3,5,2,3,2,3,1,6
483,91,3,7,2,3,4,3,3,2,2,5,2,5,1,2,2,4,3,5,2,5,2,2,3,2,2,6,6,3
383,80,2,2,1,4,3,1,1,2,1,3,3,7,5,3,1,1,5,3,1,5,4,1,3,3,5,4,4,2
702,139,3,1,6,4,6,4,1,6,2,6,3,5,4,8,9,3,3,4,7,5,9,4,6,8,3,7,5,7
